partno,name,price,gst
14204,ATB FUNGUS 3,"5,000.00",12%
14315,ATB G- 5,"4,250.00",18%
14345,ATB PSE 5,"4,250.00",18%
14384,RAPID ATB E 4,"4,250.00",18%
14960,ATB MEDIUM,"1,950.00",18%
15710,STERILE TIPS 500,"3,000.00",18%
20070,API NACL 0.85% MED 2ML 100AMP,"1,500.00",12%
21341,GN TEST KIT VTK2 20CARDS,"4,600.00",12%
21342,GP TEST KIT VTK2 20CARDS,"4,600.00",12%
21343,YST TEST KIT VTK2 20CARDS,"4,400.00",12%
21345,BCL TEST KIT VTK2 20CARDS,"9,454.00",12%
21346,NH TEST KIT VTK2 20CARDS,"5,000.00",12%
21347,ANC TEST KIT VTK2 20CARDS,"5,000.00",12%
30115,VIDAS PROTEIN C 30TESTS,"10,350.00",5%
30118,VIDAS CD A/B 60 TESTS,"18,000.00",5%
30192,VIDAS H. PYLORI IGG 30 TESTS,"7,590.00",5%
30202,VIDAS TOXO IGM 60 TESTS,"8,280.00",5%
30204,VIDAS CMV IGG 60 TESTS,"7,590.00",5%
30205,VIDAS CMV IGM 30 TESTS,"4,830.00",5%
30210,VIDAS TOXO IGG II 60 TESTS,"7,590.00",5%
30214,VIDAS RUB IGM 30 TESTS,"4,830.00",5%
41,VIDAS VARICEL. ZOSTER IGG 60 T,"13,800.00",5%
30218,VIDAS MUMPS IGG 60TESTS,"13,800.00",5%
30219,VIDAS MEASLES IGG 60TESTS,"13,800.00",5%
30221,VIDAS RUB IGG II 60 TESTS,"7,590.00",5%
30222,VIDAS TOXO IGG AVIDITY 30TESTS,"8,625.00",5%
30305,VIDAS HBE/ANTI-HBE 30 TESTS,"6,210.00",5%
30307,VIDAS HAV IGM 30 TESTS,"6,210.00",5%
30308,VIDAS ANTI-HCV 60 TESTS,"8,200.00",5%
30312,VIDAS ANTI-HAV TOTAL 30T,"6,210.00",5%
30314,VIDAS ANTI-HBC TOTAL II 60 T,"10,350.00",5%
