partno,name,price,gst
30115,VIDAS PROTEIN C 30TESTS,8700,5
30118,VIDAS CD A/B 60 TESTS,21900,5
30192,VIDAS H. PYLORI IGG 30 TESTS,7500,5
30202,VIDAS TOXO IGM 60 TESTS,8160,5
30204,VIDAS CMV IGG 60 TESTS,6900,5
30205,VIDAS CMV IGM 30 TESTS,4740,5
30210,VIDAS TOXO IGG II 60 TESTS,6900,5
30214,VIDAS RUB IGM 30 TESTS,4740,5
30217,VIDAS VARICEL. ZOSTER IGG 60 T,11820,5
30218,VIDAS MUMPS IGG 60TESTS,11100,5
30219,VIDAS MEASLES IGG 60TESTS,12300,5
30221,VIDAS RUB IGG II 60 TESTS,6900,5
30222,VIDAS TOXO IGG AVIDITY 30TESTS,4290,5
30305,VIDAS HBE/ANTI-HBE 30 TESTS,6150,5
30307,VIDAS HAV IGM 30 TESTS,6150,5
30312,VIDAS ANTI-HAV TOTAL 30T,6300,5
30314,VIDAS ANTI-HBC TOTAL II 60 T,10200,5
30315,VIDAS HBS AG ULTRA 60 T,6600,5
30317,VIDAS HBSAG ULTRA CONFIRMATION,2640,5
30318,VIDAS ANTI HBS TOTAL II 60T,10200,5
30400,VIDAS TSH 60 TESTS,3600,5
30402,VIDAS FT3 60 TESTS,6600,5
30403,VIDAS T3 60 TESTS,3600,5
30404,VIDAS T4 60 TESTS,3600,5
30405,VIDAS HCG 60 TESTS,6600,5
30406,VIDAS LH 60 TESTS,6600,5
30407,VIDAS FSH 60 TESTS,6600,5
30409,VIDAS PROGESTERONE 60 TESTS,9000,5
30410,VIDAS PROLACTIN 60 TESTS,6600,5
30411,VIDAS FERRITIN 60 TESTS,8400,5
30413,VIDAS AFP 60 TESTS,10740,5
30419,VIDAS IGE 60 TESTS,9300,5
30420,VIDAS BETA 2 MICROGL. 30 TESTS,9300,5
30421,VIDAS CK MB 30TESTS,4500,5
30426,VIDAS CA 125II 30 TESTS,8190,5
30427,VIDAS CA 19-9 30 TESTS,8190,5
30428,VIDAS TPSA 60 TESTS,10260,5
30429,VIDAS CA 15-3 30 TESTS,8190,5
30431,VIDAS ESTRADIOL II 60 TESTS,8700,5
30436,VIDAS VWF 30 TESTS,12960,5
30439,VIDAS HBC IGM II 30TESTS,6000,5
30440,VIDAS FPSA 30TESTS,5790,5
30441,VIDAS TSH3 60 T,7620,5
30443,VIDAS HIV DUO ULTRA 60 TESTS,6600,5
30446,VIDAS MYOGLOBINE 30 TESTS,8700,5
30450,VIDAS BRAHMS PROCALCITONIN 60T,48000,5
30453,VIDAS CEA (S) 60 TESTS,10800,5
30458,VIDAS NT-PROBNP 2 60 TESTS,30000,5
30459,VIDAS FT4 60 TEST,6600,5
30463,VIDAS TOTAL 25OH VITAMIN D 60T,24000,5
30603,VIDAS DIGOXIN 60 TESTS,9900,5
413557,VIDAS CMV IGG AVIDITY II 30T,1710,5
414320,VIDAS TESTOSTERONE II 30 TESTS,6000,5
415386,VIDAS HS TROPONIN I 60 TESTS,15000,5
417011,VIDAS AMH 30 TESTS,28500,5
423833,VIDAS SARS-COV-2 IgM (9COM) 60,18000,5
423834,VIDAS SARS-COV-2 IgG (9COG) 60,18000,5
424114,VIDAS SARS-COV-2 IgG II 60T,18000,5
30455-02,VIDAS D-DIMER EXCLUSION II 60T,16500,5
