partno,name,price,gst
33860,Thyroglobulin,12110,5%
A32898,Thyroglobulin Ab II,11000,5%
A12985,TPO Ab,12686,5%
A13422,Free T3,3000,5%
33880,Free T4,3000,5%
33830,Total T3,2500,5%
33800,Total T4,2500,5%
33820,Fast / hTSH,5000,5%
A10826,DHEA-S,8000,5%
33540,Estradiol 2X50 Det,7000,5%
33570,Unconjugated Estriol,7000,5%
33520,hFSH,7000,5%
A85264,Total BhCG (5th IS),7000,5%
A36097,Inhibin A,30000,5%
33510,hLH,7000,5%
33550,Progesterone,7000,5%
33530,Prolactin,7000,5%
A48617,SHBG,27900,5%
33560,Testosterone,7000,5%
B13127,AMH,78000,5%
A48571,PAPP-A,37000,5%
33600,"Cortisol (serum, Plasma, Urine)",9000,5%
33210,AFP,12000,5%
386357,"OV Monitor (CA 125 Antigen)",13000,5%
387620,"BR Monitor (CA 15-3 Antigen)",13000,5%
387687,"GI Monitor (CA 19.9 Antigen)",13000,5%
33200,CEA,12638,5%
37210,Hybritech Free PSA,11000,5%
37200,Hybritech PSA,9900,5%
33580,Ultrasensitive hGH,13500,5%
A16972,"Intact PTH (Routine or Intraoperative)",17600,5%
B24838,"25 (OH) Vitamin D Total.",25000,5%
33020,Ferritin,8500,5%
A98032,Folate,12000,5%
387992,Intrinsic Factor Ab,46000,5%
A32493,sTfR,51789,5%
33000,Vitamin B12,7500,5%
386371,CK-MB,9500,5%
33710,Digoxin,9500,5%
973243,Myoglobin,8000,5%
A98143,"AccuTni for use on Access",11000,5%
33410,Ultrasensitive Insulin,8700,5%
A16369,  "IL-6",85000,5%
C22593,PCT,84000,5%
33865,"Thyroglobulin Cals, S0-S5",6583,12%
A36920,"Thyroglobulin Ab II Cals S0-S5",10471,12%
A18227,"TPO Ab Cals - S0-55",11000,12%
A13430,"Free T3 Cals S0-S5",5000,12%
33885,"Free T4 Cals S0-S5",5000,12%
33835,"Total T3 Cals S0-S5",5000,12%
33805,Total T4 Cals,5000,12%
33825,"Fast / hTSH Cals",5000,12%
A10827,"DHEA-S Cals, S0-S5",5000,12%
33545,"Estradiol Cals S0-S5",5000,12%
33575,"Unconjugated Estriol Cals S0-S6",6000,12%
33525,hFSH Cals,5000,12%
B11754,"Total BhCG (5th IS) Cals S0-S5",5000,12%
A36098,"Inhibin A Cals S0-S6",9000,12%
33515,hLH Cals,5000,12%
33555,Progesterone Cals,5000,12%
33535,Prolactin Cals,5000,12%
A48618,SHBG Cals S0 S5,9000,12%
33565,"Testosterone Cals, S0-S5",5000,12%
B13128,"AMH Cals S0 - S5",9000,12%
A48572,"PAPP-A Cals S0-S5",17800,12%
33605,Cortisol Cals,4000,12%
33215,AFP Cals,5800,12%
386358,"OV Monitor (CA 125 Antigen) Cals",5800,12%
387647,"BR Monitor (CA 15-3 Antigen) Cals S0- S5",5800,12%
387688,"GI Monitor (CA 19.9 Antigen) Cals S0-55",5800,12%
33205,CEA Cals,5800,12%
37215,Hybritech Free PSA Cals,5800,12%
37205,Hybritech PSA Cals,5800,12%
33585,Ultrasensitive hGH Cals ,7000,12%
A16953,"Intact PTH (Routine or Intraoperative)Cals",7000,12%
B24839,"25 (OH) Vitamin D Total Cals",9000,12%
A16365,"EPO Cals - 5 x 2.5mL, 1 x 10mL",12244,12%
33025,Ferritin Cals,8000,12%
A98033,"Folate / Folate RBC Cals S0-S5",6000,12%
387993,Intrinsic Factor Ab Cals,18700,12%
A32494,"Soluble Transferrin Receptor (STfR) Cals S0-S5",14997,12%
33005,Vitamin B12 Cals,5000,12%
386372,"CK-MB Cals 50-55",5000,12%
33715,Digoxin Cals,7000,12%
973244,Myoglobin Cals,5600,12%
A98144,AccuTnI+3 for use on Access Cals ,8000,12%
33415,Ultrasensitive Insulin Cal ,6380,12%
A16370,"IL-6 Cal",18000,12%
C22594,PCT Cal,12000,12%
81906,"Substrate 4 X 130ML (Access / DxI)",9000,12%
81901,Reaction Vessels ,4000,18%
A16792,"Wash Buffer",6000,12%
81911,"Contrad ",7000,18%
81912,"Citranox",6000,18%
81910,"System Check Solution",5000,12%
81904,Waste Bags,5000,18%
81902,Sample Cup ,2500,18%
651412,Sample Cup .5ML,2500,18%
